UF,COD. UF,COD. MUNIC,NOME DO MUNICÍPIO, POPULAÇÃO ESTIMADA ,STATUS_PROCESSAMENTO
SP,35,10609,Carapicuíba,398.462,⚠️
SP,35,51009,São Vicente,338.407,⚠️
SP,35,52809,Taboão da Serra,284.274,⚠️
SP,35,15004,Embu das Artes,259.323,⚠️
MG,31,57807,Santa Luzia,229.483,⚠️
SP,35,43907,Rio Claro,208.857,⚠️
SP,35,45803,Santa Bárbara d'Oeste,189.338,⚠️
SP,35,25300,Jaú,137.323,⚠️
MG,31,45208,Nova Serrana,112.910,⚠️
SP,35,08504,Caçapava,99.678,⚠️
MG,31,62500,São João del Rei,94.062,⚠️
MT,51,05259,Lucas do Rio Verde,92.256,⚠️
SP,35,09601,Campo Limpo Paulista,79.663,⚠️
MG,31,71303,Viçosa,79.221,⚠️
MG,31,64704,São Sebastião do Paraíso,74.742,⚠️
SP,35,30300,Mirassol,65.485,⚠️
SP,35,55000,Tupã,65.416,⚠️
MT,51,06224,Nova Mutum,61.223,⚠️
RN,24,00208,Açu,58.906,⚠️
SP,35,56453,Vargem Grande Paulista,52.103,⚠️
SP,35,31308,Monte Alto,48.725,⚠️
SP,35,08405,Cabreúva,48.473,⚠️
PI,22,03701,Esperantina,42.510,⚠️
MG,31,57005,Salinas,41.641,⚠️
MG,31,07109,Boa Esperança,41.332,⚠️
SP,35,15186,Espírito Santo do Pinhal,40.681,⚠️
MG,31,40704,Mateus Leme,40.239,⚠️
SP,35,50407,São Pedro,39.725,⚠️
MG,31,35050,Jaíba,39.379,⚠️
SP,35,40200,Pontal,38.376,⚠️
CE,23,05902,Ipueiras,38.285,⚠️
SP,35,05302,Barra Bonita,35.159,⚠️
PA,15,00859,Anapu,34.947,⚠️
MA,21,02002,Bom Jardim,34.035,⚠️
SP,35,01707,Américo Brasiliense,33.757,⚠️
MG,31,28006,Guanhães,33.434,⚠️
MG,31,46008,Ouro Fino,33.227,⚠️
SP,35,50209,São Miguel Arcanjo,32.904,⚠️
SP,35,08603,Cachoeira Paulista,32.482,⚠️
MG,31,52006,Pompéu,32.305,⚠️
MG,31,57203,Santa Bárbara,31.756,⚠️
MG,31,16605,Cláudio,31.665,⚠️
MA,21,02200,Buriti,30.799,⚠️
SP,35,06607,Biritiba Mirim,30.526,⚠️
