Location_ID,Location_Name_PT,ISO_3166_1,Country_Region_PT,Adm1_Name_PT,Adm2_Name_PT,Timezone,Latitude,Longitude
86E75,Guarulhos,BR,Brazil,São Paulo,São Paulo,America/Sao_Paulo,-23.46900,-46.53100
36DD2,Porto Alegre,BR,Brazil,Rio Grande do Sul,Porto Alegre,America/Sao_Paulo,-30.03278,-51.23000
5DF18,Belo Horizonte,BR,Brazil,Minas Gerais,Belo Horizonte,America/Sao_Paulo,-19.89167,-43.94778
9F6B7,Belém,BR,Brazil,Pará,Belém,America/Belem,-1.45583,-48.50389
B8E9C,Goiânia,BR,Brazil,Goiás,Goiânia,America/Sao_Paulo,-16.67889,-49.25389
954A3,Salvador,BR,Brazil,Bahia,Salvador,America/Bahia,-12.97083,-38.51083
A0A93,Recife,BR,Brazil,Pernambuco,Recife,America/Recife,-8.05389,-34.88083
52CAE,Maceió,BR,Brazil,Alagoas,Maceió,America/Maceio,-9.66583,-35.73500
BC392,Campo Grande,BR,Brazil,Mato Grosso do Sul,Campo Grande,America/Campo_Grande,-20.45800,-54.61600
792,Curitiba,BR,Brazil,Paraná,Curitiba,America/Sao_Paulo,-25.42972,-49.27195
A3CED,Fortaleza,BR,Brazil,Ceará,Fortaleza,America/Fortaleza,-3.78139,-38.58889
26497,Manaus,BR,Brazil,Amazonas,Manaus,America/Manaus,-3.13500,-60.02300
820C6,São Gonçalo,BR,Brazil,Rio de Janeiro,São Gonçalo,America/Sao_Paulo,-22.82694,-43.05389
E67F8,Campinas,BR,Brazil,São Paulo,Campinas,America/Sao_Paulo,-22.90700,-47.06000
D1670,Teresina,BR,Brazil,Piauí,Teresina,America/Fortaleza,-5.09490,-42.80420
22947,São Luís,BR,Brazil,Maranhão,São Luís,America/Fortaleza,-2.53000,-44.30278
11188,Rio de Janeiro,BR,Brazil,Rio de Janeiro,Rio de Janeiro,America/Sao_Paulo,-22.90833,-43.19639
89E06,Brasília,BR,Brazil,Distrito Federal,Brasília,America/Sao_Paulo,-15.79389,-47.88278
401A1,João Pessoa,BR,Brazil,Paraíba,João Pessoa,America/Fortaleza,-7.08333,-34.83333
A12E,São Paulo,BR,Brazil,São Paulo,São Paulo,America/Sao_Paulo,-23.55039,-46.63395
7B62D,Natal,BR,Brazil,Rio Grande do Norte,Natal,America/Fortaleza,-5.75100,-35.25200
2B9F1,Santo André,BR,Brazil,São Paulo,São Paulo,America/Sao_Paulo,-23.65800,-46.53100
F0D1C,São Bernardo do Campo,BR,Brazil,São Paulo,São Paulo,America/Sao_Paulo,-23.71000,-46.55000
6706F,Duque de Caxias,BR,Brazil,Rio de Janeiro,Duque de Caxias,America/Sao_Paulo,-22.78583,-43.31194
8B0A0,Nova Iguaçu,BR,Brazil,Rio de Janeiro,Nova Iguaçu,America/Sao_Paulo,-22.75889,-43.45083
6A127,Osasco,BR,Brazil,São Paulo,São Paulo,America/Sao_Paulo,-23.53250,-46.79167
95901,Uberlândia,BR,Brazil,Minas Gerais,Uberlândia,America/Sao_Paulo,-18.91900,-48.27800
208DD,Sorocaba,BR,Brazil,São Paulo,Sorocaba,America/Sao_Paulo,-23.49900,-47.45800
C9C9E,Aracaju,BR,Brazil,Sergipe,Aracaju,America/Maceio,-10.90700,-37.04800
98F22,Joinville,BR,Brazil,Santa Catarina,Joinville,America/Sao_Paulo,-26.30389,-48.84583
4C11E,Jaboatão dos Guararapes,BR,Brazil,Pernambuco,Jaboatão dos Guararapes,America/Recife,-8.11278,-35.01500
B2EBE,Feira de Santana,BR,Brazil,Bahia,Feira de Santana,America/Bahia,-12.26695,-38.96695
C6AE3,Florianópolis,BR,Brazil,Santa Catarina,Florianópolis,America/Sao_Paulo,-27.59328,-48.55305
943E3,Contagem,BR,Brazil,Minas Gerais,Belo Horizonte,America/Sao_Paulo,-19.94300,-44.06600
C7601,São José dos Campos,BR,Brazil,São Paulo,São José dos Campos,America/Sao_Paulo,-23.18400,-45.88400
56C8B,Cuiabá,BR,Brazil,Mato Grosso,Cuiabá,America/Cuiaba,-15.59583,-56.09694
B61D3,Londrina,BR,Brazil,Paraná,Londrina,America/Sao_Paulo,-23.31000,-51.16278
